servicio,cod_empresa,empresa,centro_poblado,numero_pqrs,latitude,longitude
GAS,484,GASES DEL CARIBE S.A. EMPRESA DE SERVICIOS PUBLICOS ,PLATO,212,9.79677054749,-74.784684214
ENERGIA,524,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,GIRON,207,7.07052391696,-73.1667133582
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,CERETE,207,8.88859098259,-75.7961971634
GAS,629,GASES DE OCCIDENTE S. A. EMPRESA DE SERVICIOS PUBLICOS,PALMIRA,206,3.53234954501,-76.2985815873
GAS,2225,GAS NATURAL CUNDIBOYACENSE SA ESP,ZIPAQUIRA,204,5.02547142431,-73.9944757558
ENERGIA,604,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,TOLEDO,204,7.30770174274,-72.4819073532
ENERGIA,23442,COMPA?IA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,SILVIA,202,2.611815128,-76.3795694468
GAS,484,GASES DEL CARIBE S.A. EMPRESA DE SERVICIOS PUBLICOS ,MALAMBO,196,10.856822692,-74.7748637454
GAS,618,ALCANOS DE COLOMBIA S.A. E.S.P.,GIRARDOT,195,4.31307939531,-74.7977961492
ENERGIA,564,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,ITAGUI,194,6.174929734,-75.6120815283
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SAN JUAN DEL CESAR,194,10.7695782636,-73.0005931272
ENERGIA,44278,CELSIA TOLIMA S.A. E.S.P.,ROVIRA,193,4.2389330111,-75.2408706668
ENERGIA,520,CENTRALES ELECTRICAS DE NARI?O S.A. E.S.P.,TUMACO,193,1.80712244418,-78.7638397247
ENERGIA,523,EMPRESA DE ENERGIA DEL  QUINDIO S.A.E.S.P.,MONTENEGRO,192,4.56505578418,-75.7498287033
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SANTO TOMAS,192,10.7587230349,-74.7577207286
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,CHINU,190,9.10529229865,-75.3997215182
ENERGIA,604,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,RIO DE ORO,190,8.29228968373,-73.3863920498
GAS,618,ALCANOS DE COLOMBIA S.A. E.S.P.,LA DORADA,190,5.46047440177,-74.6684167053
GAS,629,GASES DE OCCIDENTE S. A. EMPRESA DE SERVICIOS PUBLICOS,BUENAVENTURA,190,3.87580334574,-77.0117477782
GAS,618,ALCANOS DE COLOMBIA S.A. E.S.P.,POPAYAN,190,2.45994897276,-76.5988923721
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,EL COPEY,186,10.1495254704,-73.9627178522
GAS,526,GAS NATURAL DEL ORIENTE SA ESP,GIRON,184,7.07052391696,-73.1667133582
GAS,526,GAS NATURAL DEL ORIENTE SA ESP,PIEDECUESTA,184,6.99735677431,-73.0545933904
GAS,620,GASES DEL LLANO S.A EMPRESA DE SERVICIOS PUBLICOS,VILLAVICENCIO,183,4.1238593011,-73.624562528
ENERGIA,23442,COMPA?IA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,SANTA ROSA,182,1.70241741098,-76.5739728417
ENERGIA,564,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,ENVIGADO,181,6.16700589298,-75.5830089369
ENERGIA,500,EMPRESA DE ENERGIA DE BOYACA S.A. ESP EMPRESA DE SERVICIOS PUBLICOS,PAIPA,181,5.77994168888,-73.1179179167
GAS,498,SURTIDORA DE GAS DEL CARIBE S.A. EMPRESA DE SERVICIOS PUBLICOS ,MAGANGUE,180,9.26381346247,-74.7667304396
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,EL CARMEN DE BOLIVAR,180,9.71861199322,-75.1212066427
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,PUEBLO NUEVO,180,8.50400390305,-75.5079697769
ENERGIA,23442,COMPA?IA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,PAISPAMBA,177,2.25313393405,-76.6132965446
ENERGIA,44278,CELSIA TOLIMA S.A. E.S.P.,SAN LUIS,177,4.13371813034,-75.0957912296
ENERGIA,500,EMPRESA DE ENERGIA DE BOYACA S.A. ESP EMPRESA DE SERVICIOS PUBLICOS,CHIQUINQUIRA,176,5.61412836353,-73.8183869915
GAS,629,GASES DE OCCIDENTE S. A. EMPRESA DE SERVICIOS PUBLICOS,JAMUNDI,172,3.25932906918,-76.5391224672
ENERGIA,44278,CELSIA TOLIMA S.A. E.S.P.,ORTEGA,172,3.93491661562,-75.2226023939
ENERGIA,500,EMPRESA DE ENERGIA DE BOYACA S.A. ESP EMPRESA DE SERVICIOS PUBLICOS,MONIQUIRA,172,5.87633305531,-73.5733706158
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SABANAGRANDE,171,10.7910757719,-74.7585063109
GAS,564,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,BELLO,170,6.33406558292,-75.5546673053
ENERGIA,637,COMPA?IA DE ELECTRICIDAD DE TULUA S.A. E.S.P.,TULUA,170,4.08526067539,-76.1977002572
ENERGIA,523,EMPRESA DE ENERGIA DEL  QUINDIO S.A.E.S.P.,QUIMBAYA,170,4.62438412181,-75.7650742652
ENERGIA,23442,COMPA?IA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,INZA,167,2.54918501375,-76.0634951224
ENERGIA,502,CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,LA DORADA,166,5.46047440177,-74.6684167053
GAS,2225,GAS NATURAL CUNDIBOYACENSE SA ESP,MOSQUERA,166,4.70701024824,-74.2193416046
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,AYAPEL,166,8.31444592737,-75.1462884773
ENERGIA,500,EMPRESA DE ENERGIA DE BOYACA S.A. ESP EMPRESA DE SERVICIOS PUBLICOS,CHITA,166,6.18708569854,-72.471892654
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,PIVIJAY,166,10.4606939662,-74.6135180767
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,BECERRIL,165,9.70460046236,-73.2791963317
GAS,978,"GASES DE LA GUAJIRA S.A., EMPRESA DE SERVICIOS PUBLICOS",RIOHACHA,165,11.5287502128,-72.9114873118
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,AGUSTIN CODAZZI,164,10.040457318,-73.2383965158
ENERGIA,44278,CELSIA TOLIMA S.A. E.S.P.,RIOBLANCO,162,3.52986047716,-75.6443757976
ENERGIA,44278,CELSIA TOLIMA S.A. E.S.P.,LIBANO,160,4.92041843293,-75.0619532821
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,ARACATACA,159,10.5897988592,-74.1867609537
ENERGIA,604,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,GAMARRA,159,8.32432947636,-73.7380076768
ENERGIA,44278,CELSIA TOLIMA S.A. E.S.P.,GUAYABAL,158,5.03067791424,-74.8844145941
GAS,618,ALCANOS DE COLOMBIA S.A. E.S.P.,FLORENCIA,157,1.61792408755,-75.6085597398
GAS,629,GASES DE OCCIDENTE S. A. EMPRESA DE SERVICIOS PUBLICOS,CARTAGO,157,4.758755097,-75.942264044
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SANTA CRUZ DE MOMPOX,156,9.24388275745,-74.4278652943
ENERGIA,604,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,CACHIRA,154,7.74089485038,-73.0487542769
ENERGIA,44278,CELSIA TOLIMA S.A. E.S.P.,PURIFICACION,153,3.8572509421,-74.9353707228
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,ROBLES,152,10.3874900073,-73.1713617757
ENERGIA,500,EMPRESA DE ENERGIA DE BOYACA S.A. ESP EMPRESA DE SERVICIOS PUBLICOS,SAMACA,151,5.49231280648,-73.4856416273
ENERGIA,23442,COMPA?IA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,ALMAGUER,151,1.91336278103,-76.8559227702
GAS,2225,GAS NATURAL CUNDIBOYACENSE SA ESP,MADRID,148,4.73273240481,-74.2637266314
ENERGIA,564,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,RIONEGRO,147,6.1472245313,-75.3767667557
ENERGIA,604,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,CONVENCION,146,8.47037222338,-73.3372098547
ENERGIA,1032,ELECTRIFICADORA DEL CAQUETA S.A. ESP,FLORENCIA,146,1.61792408755,-75.6085597398
GAS,498,SURTIDORA DE GAS DEL CARIBE S.A. EMPRESA DE SERVICIOS PUBLICOS ,BARRANCO DE LOBA,145,8.94773040932,-74.105224848
ENERGIA,44278,CELSIA TOLIMA S.A. E.S.P.,PLANADAS,144,3.19765191111,-75.6439602657
ENERGIA,23442,COMPA?IA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,BELALCAZAR,143,2.641347053,-75.971964511
